ID;NAME;VARIABLE;SRC;VALUE;CURRENCY;REFYEAR
18490453;ADECCO GROUP AG;COUNTRY;https://financialmodelingprep.com/api/v3/profile/AHEXY;CH;N/A;2024
18490453;ADECCO GROUP AG;EMPLOYEES;https://financialmodelingprep.com/api/v3/profile/AHEXY;33597;N/A;2024
18490453;ADECCO GROUP AG;TURNOVER;https://financialmodelingprep.com/api/v3/income-statement/AHEXY;23138000000;EUR;2024
18490453;ADECCO GROUP AG;ASSETS;https://financialmodelingprep.com/api/v3/balance-sheet-statement/AHEXY;12099000000;EUR;2024
18490453;ADECCO GROUP AG;WEBSITE;https://financialmodelingprep.com/api/v3/profile/AHEXY;https://www.adeccogroup.com;N/A;2024
18490453;ADECCO GROUP AG;ACTIVITY;https://ai.google.dev/gemini-api;N78;N/A;2024
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;COUNTRY;https://www.boerse-frankfurt.de/equity/johnson-controls-international-plc;IE;N/A;2024
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;EMPLOYEES;https://www.johnsoncontrols.com/about/our-company;97000;N/A;2023
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;TURNOVER;https://investors.johnsoncontrols.com/financials/annual-reports/default.aspx;26683000000;USD;2023
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;ASSETS;https://www.sec.gov/Archives/edgar/data/0001541904/000154190423000077/jci-20230930.htm;39911000000;USD;2023
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;WEBSITE;https://www.johnsoncontrols.com/;www.johnsoncontrols.com;N/A;2024
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;ACTIVITY;https://ai.google.dev/gemini-api;C27;N/A;2024
18503440;MAGNA INTERNATIONAL INC;COUNTRY;https://tools.morningstar.co.uk/uk/stockreport/default.aspx?SecurityToken=0P0000684T%5D3%5D0%5DE0WWE%24%24ALL;CA;N/A;2024
18503440;MAGNA INTERNATIONAL INC;EMPLOYEES;https://www.magna.com/company/at-a-glance;174000;N/A;2023
18503440;MAGNA INTERNATIONAL INC;TURNOVER;https://www.magna.com/media/files/magna-annual-report-2023.pdf;42837000000;USD;2023
18503440;MAGNA INTERNATIONAL INC;ASSETS;https://www.magna.com/media/files/magna-2023-annual-report.pdf;40419000000;USD;2023
18503440;MAGNA INTERNATIONAL INC;WEBSITE;http://www.magna.com/;www.magna.com;N/A;2024
18503440;MAGNA INTERNATIONAL INC;ACTIVITY;https://ai.google.dev/gemini-api;C29;N/A;2024
18511746;PUBLICIS GROUPE S A;COUNTRY;https://live.euronext.com/en/product/equities/FR0000130577-XPAR;FR;N/A;2024
18511746;PUBLICIS GROUPE S A;EMPLOYEES;https://www.publicisgroupe.com/en/investors/regulated-information;102781;N/A;2023
18511746;PUBLICIS GROUPE S A;TURNOVER;https://www.publicisgroupe.com/en/investors/regulated-information;13089000000;EUR;2023
18511746;PUBLICIS GROUPE S A;ASSETS;https://www.publicisgroupe.com/en/investors/regulated-information;36117000000;EUR;2023
18511746;PUBLICIS GROUPE S A;WEBSITE;https://www.publicisgroupe.com/en/the-groupe/about-publicis-groupe;www.publicisgroupe.com;N/A;2024
18511746;PUBLICIS GROUPE S A;ACTIVITY;https://ai.google.dev/gemini-api;M73;N/A;2024
18512048;GEBR. KNAUF;COUNTRY;https://ai.google.dev/gemini-api;DE;N/A;2024
18512048;GEBR. KNAUF;EMPLOYEES;https://www.knauf.com/en/company/knauf-group/knauf-group.html;40000;N/A;2023
18512048;GEBR. KNAUF;TURNOVER;https://ai.google.dev/gemini-api;0;;
18512048;GEBR. KNAUF;ASSETS;;3266000000;EUR;2022
18512048;GEBR. KNAUF;WEBSITE;https://knauf.com/en;knauf.com;N/A;2024
18512048;GEBR. KNAUF;ACTIVITY;https://ai.google.dev/gemini-api;C23;N/A;2024
18519151;BRIDGESTONE CORPORATION;COUNTRY;https://financialmodelingprep.com/api/v3/profile/BRDCY;JP;N/A;2024
18519151;BRIDGESTONE CORPORATION;EMPLOYEES;https://financialmodelingprep.com/api/v3/profile/BRDCY;121464;N/A;2024
18519151;BRIDGESTONE CORPORATION;TURNOVER;https://financialmodelingprep.com/api/v3/income-statement/BRDCY;4430096000000;JPY;2024
18519151;BRIDGESTONE CORPORATION;ASSETS;https://financialmodelingprep.com/api/v3/balance-sheet-statement/BRDCY;5723517000000;JPY;2024
18519151;BRIDGESTONE CORPORATION;WEBSITE;https://financialmodelingprep.com/api/v3/profile/BRDCY;https://www.bridgestone.co.jp;N/A;2024
18519151;BRIDGESTONE CORPORATION;ACTIVITY;https://ai.google.dev/gemini-api;C22;N/A;2024
18520469;FERRERO;COUNTRY;https://ai.google.dev/gemini-api;IT;N/A;2024
18520469;FERRERO;EMPLOYEES;https://www.ferrero.com/the-ferrero-group/ferrero-group-today;47213;N/A;2023
18520469;FERRERO;TURNOVER;https://www.ferrero.com/news/ferrero-group-approves-the-consolidated-financial-statements-for-financial-year-2022-23;17000000000;EUR;2023
18520469;FERRERO;ASSETS;https://www.ferrero.com/news/ferrero-group-announces-consolidated-financial-results-for-fiscal-year-2022-23;18841000000;EUR;2023
18520469;FERRERO;WEBSITE;https://www.ferrero.com/int/en/;www.ferrero.com;N/A;2024
18520469;FERRERO;ACTIVITY;https://ai.google.dev/gemini-api;C10;N/A;2024
18521399;SUMITOMO CORPORATION;COUNTRY;https://financialmodelingprep.com/api/v3/profile/SSUMY;JP;N/A;2024
18521399;SUMITOMO CORPORATION;EMPLOYEES;https://financialmodelingprep.com/api/v3/profile/SSUMY;74920;N/A;2024
18521399;SUMITOMO CORPORATION;TURNOVER;https://financialmodelingprep.com/api/v3/income-statement/SSUMY;6910302000000;JPY;2024
18521399;SUMITOMO CORPORATION;ASSETS;https://financialmodelingprep.com/api/v3/balance-sheet-statement/SSUMY;11032583000000;JPY;2024
18521399;SUMITOMO CORPORATION;WEBSITE;https://financialmodelingprep.com/api/v3/profile/SSUMY;https://www.sumitomocorp.com;N/A;2024
18521399;SUMITOMO CORPORATION;ACTIVITY;https://ai.google.dev/gemini-api;G46;N/A;2024
18527213;COMPAGNIE DE SAINT GOBAIN;COUNTRY;https://live.euronext.com/en/product/equities/FR0000125007-XPAR;FR;N/A;2024
18527213;COMPAGNIE DE SAINT GOBAIN;EMPLOYEES;https://www.saint-gobain.com/sites/saint-gobain.com/files/2024-02/Saint-Gobain_2023_Universal_Registration_Document.pdf;160000;N/A;2023
18527213;COMPAGNIE DE SAINT GOBAIN;TURNOVER;https://www.saint-gobain.com/sites/saint-gobain.com/files/2024-02/Saint-Gobain_2023_Registration_Document.pdf;51178000000;EUR;2023
18527213;COMPAGNIE DE SAINT GOBAIN;ASSETS;https://www.saint-gobain.com/sites/saint-gobain.com/files/2024-02/Saint-Gobain_Universal-Registration-Document-2023.pdf;52343000000;EUR;2023
18527213;COMPAGNIE DE SAINT GOBAIN;WEBSITE;https://www.saint-gobain.com/en;www.saint-gobain.com;N/A;2024
18527213;COMPAGNIE DE SAINT GOBAIN;ACTIVITY;https://ai.google.dev/gemini-api;C23;N/A;2024
18535882;ABBOTT LABORATORIES;COUNTRY;https://ai.google.dev/gemini-api;US;N/A;2024
18535882;ABBOTT LABORATORIES;EMPLOYEES;https://www.abbott.com/annual-report/2023/our-company.html;114000;N/A;2023
18535882;ABBOTT LABORATORIES;TURNOVER;https://www.annualreports.com/HostedData/AnnualReportArchive/a/NYSE_ABT_2023.pdf;43735000000;USD;2023
18535882;ABBOTT LABORATORIES;ASSETS;https://www.annualreports.com/HostedData/AnnualReportArchive/a/NYSE_ABT_2023.pdf;79334000000;USD;2023
18535882;ABBOTT LABORATORIES;WEBSITE;https://www.abbott.com/;www.abbott.com;N/A;2024
18535882;ABBOTT LABORATORIES;ACTIVITY;https://ai.google.dev/gemini-api;C21;N/A;2024
18539093;BP P.L.C.;COUNTRY;https://www.fidelity.co.uk/factsheet-data/factsheet/GB0007980591-bp/key-statistics;GB;N/A;2024
18539093;BP P.L.C.;EMPLOYEES;https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/investors/bp-annual-report-and-form-20f-2023.pdf;60700;N/A;2023
18539093;BP P.L.C.;TURNOVER;https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/investors/bp-annual-report-and-form-20f-2023.pdf;227362000000;USD;2023
18539093;BP P.L.C.;ASSETS;https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/investors/bp-annual-report-and-form-20f-2023.pdf;284372000000;USD;2023
18539093;BP P.L.C.;WEBSITE;https://www.bp.com/;www.bp.com;N/A;2024
18539093;BP P.L.C.;ACTIVITY;https://ai.google.dev/gemini-api;B06;N/A;2024
18541762;ENGIE;COUNTRY;https://live.euronext.com/en/product/equities/FR0010208488-XPAR;FR;N/A;2024
18541762;ENGIE;EMPLOYEES;https://www.engie.com/sites/default/files/2024-02/urd-2023-engie.pdf;97261;N/A;2023
18541762;ENGIE;TURNOVER;https://www.engie.com/sites/default/files/2024-02/URD%202023%20ENGIE.pdf;93204000000;EUR;2023
18541762;ENGIE;ASSETS;https://www.engie.com/sites/default/files/assets/finance/2023-03/engie-2022-universal-registration-document.pdf;318820000000;EUR;2022
18541762;ENGIE;WEBSITE;https://www.engie.com/en;www.engie.com;N/A;2024
18541762;ENGIE;ACTIVITY;https://ai.google.dev/gemini-api;D35;N/A;2024
18543139;DENTSU GROUP INC.;COUNTRY;https://financialmodelingprep.com/api/v3/profile/DNTUY;JP;N/A;2024
18543139;DENTSU GROUP INC.;EMPLOYEES;https://financialmodelingprep.com/api/v3/profile/DNTUY;67667;N/A;2024
18543139;DENTSU GROUP INC.;TURNOVER;https://financialmodelingprep.com/api/v3/income-statement/DNTUY;1410961000000;JPY;2024
18543139;DENTSU GROUP INC.;ASSETS;https://financialmodelingprep.com/api/v3/balance-sheet-statement/DNTUY;3507260000000;JPY;2024
18543139;DENTSU GROUP INC.;WEBSITE;https://financialmodelingprep.com/api/v3/profile/DNTUY;https://www.group.dentsu.com;N/A;2024
18543139;DENTSU GROUP INC.;ACTIVITY;https://ai.google.dev/gemini-api;M73;N/A;2024
18552002;THYSSENKRUPP;COUNTRY;https://financialmodelingprep.com/api/v3/profile/TYEKF;DE;N/A;2024
18552002;THYSSENKRUPP;EMPLOYEES;https://financialmodelingprep.com/api/v3/profile/TYEKF;97360;N/A;2024
18552002;THYSSENKRUPP;TURNOVER;https://financialmodelingprep.com/api/v3/income-statement/TYEKF;35041000000;EUR;2024
18552002;THYSSENKRUPP;ASSETS;https://financialmodelingprep.com/api/v3/balance-sheet-statement/TYEKF;29333000000;EUR;2024
18552002;THYSSENKRUPP;WEBSITE;https://financialmodelingprep.com/api/v3/profile/TYEKF;https://www.thyssenkrupp.com;N/A;2024
18552002;THYSSENKRUPP;ACTIVITY;https://ai.google.dev/gemini-api;C25;N/A;2024
18573648;VOESTALPINE GROUP;COUNTRY;https://www.boerse-frankfurt.de/equity/voestalpine-ag?mic=XFRA;AT;N/A;2024
18573648;VOESTALPINE GROUP;EMPLOYEES;https://www.voestalpine.com/group/en/group/the-voestalpine-group/facts-figures/;51200;N/A;2024
18573648;VOESTALPINE GROUP;TURNOVER;https://www.voestalpine.com/group/en/group/;18200000000;EUR;2023
18573648;VOESTALPINE GROUP;ASSETS;https://www.voestalpine.com/group/en/investors/reports/;17813000000;EUR;2023
18573648;VOESTALPINE GROUP;WEBSITE;https://www.voestalpine.com/group/en/;www.voestalpine.com;N/A;2024
18573648;VOESTALPINE GROUP;ACTIVITY;https://ai.google.dev/gemini-api;C24;N/A;2024
18573835;ORANGE;COUNTRY;https://live.euronext.com/en/product/equities/fr0000133308-xpar/market-information;FR;N/A;2024
18573835;ORANGE;EMPLOYEES;https://www.orange.com/en/latest-news/orange-annual-results-2023;127000;N/A;2023
18573835;ORANGE;TURNOVER;https://www.orange.com/en/latest-news/orange-group-annual-results-2023;44159000000;EUR;2023
